

pwl	ợ
qerl	tẹt

qeo	toẹ
qeuo	toẹo
qejo	toẹi
qeco	toẹc
qefo	toẹng
qeno	toẹn
qemo	toẹm
qevo	toẹp
qero	toẹt

qdl	tệ
qdul	tệu
qdjl	tệy
qdcl	tệch
qdfl	tệnh
qdnl	tện
qdml	tệm
qdvl	tệp
qdrl	tệt

qdo	tuệ
qduo	tuệu
qdjo	tuệy
qdco	tuệch
qdfo	tuệnh
qdno	tuện
qdmo	tuệm
qdvo	tuệp
qdro	tuệt

qil	tị
qiul	tịu
qijl	tỵ
qicl	tịch
qifl	tịnh
qinl	tịn
qiml	tịm
qivl	tịp
qirl	tịt

qio	tuị
qiuo	tuỵu
qijo	tuỵ
qico	tuỵch
qifo	tuỵnh
qino	tuỵn
qimo	tuỵm
qivo	tuỵp
qiro	tuỵt

qkl	tịa
qkul	tiệu
qkjl	tiệy
qkcl	tiệc
qkfl	tiệng
qknl	tiện
qkml	tiệm
qkvl	tiệp
qkrl	tiệt

qko	tuỵa
qkuo	tuyệu
qkjo	tuyệy
qkco	tuyệc
qkfo	tuyệng
qkno	tuyện
qkmo	tuyệm
qkvo	tuyệp
qkro	tuyệt

qll	tộ
qlul	tộu
qljl	tội
qlcl	tộc
qlfl	tộng
qlnl	tộn
qlml	tộm
qlvl	tộp
qlrl	tột

qlo	toộ
qluo	toộu
qljo	toội
qlco	toộc
qlfo	toộng
qlno	toộn
qlmo	toộm
qlvo	toộp
qlro	toột

qsl	tạnh
qsul	tậu
qsjl	tậy
qscl	tậc
qsfl	tậng
qsnl	tận
qsml	tậm
qsvl	tập
qsrl	tật

qso	toạnh
qsuo	tuậu
qsjo	tuậy
qsco	tuậc
qsfo	tuậng
qsno	tuận
qsmo	tuậm
qsvo	tuập
qsro	tuật

qql	tạch
qqul	tạu
qqjl	tạy
qqcl	tặc
qqfl	tặng
qqnl	tặn
qqml	tặm
qqvl	tặp
qqrl	tặt

qqo	toạch
qquo	toạu
qqjo	toạy
qqco	toặc
qqfo	toặng
qqno	toặn
qqmo	toặm
qqvo	toặp
qqro	toặt

qtl	tự
qtul	tựu
qtjl	tựi
qtcl	tực
qtfl	tựng
qtnl	tựn
qtml	tựm
qtvl	tựp
qtrl	tựt

qto	tựa
qtuo	tượu
qtjo	tượi
qtco	tược
qtfo	tượng
qtno	tượn
qtmo	tượm
qtvo	tượp
qtro	tượt

qpl	tụ
qpul	tụu
qpjl	tụi
qpcl	tục
qpfl	tụng
qpnl	tụn
qpml	tụm
qpvl	tụp
qprl	tụt

qpo	tụa
qpuo	tuộu
qpjo	tuội
qpco	tuộc
qpfo	tuộng
qpno	tuộn
qpmo	tuộm
qpvo	tuộp
qpro	tuột

wwl	thợ
wwul	thợu
wwjl	thợi
wwcl	thợc
wwfl	thợng
wwnl	thợn
wwml	thợm
wwvl	thợp
wwrl	thợt

wwo	thuợ
wwuo	thuợu
wwjo	thuợi
wwco	thuợc
wwfo	thuợng
wwno	thuợn
wwmo	thuợm
wwvo	thuợp
wwro	thuợt

wol	thọ
woul	thọu
wojl	thọi
wocl	thọc
wofl	thọng
wonl	thọn
woml	thọm
wovl	thọp
worl	thọt

woo	thoọ
wouo	thoọu
wojo	thoọi
woco	thoọc
wofo	thoọng
wono	thoọn
womo	thoọm
wovo	thoọp
woro	thoọt

wal	thạ
waul	thạo
wajl	thại
wacl	thạc
wafl	thạng
wanl	thạn
waml	thạm
wavl	thạp
warl	thạt

wao	thoạ
wauo	thoạo
wajo	thoại
waco	thoạc
wafo	thoạng
wano	thoạn
wamo	thoạm
wavo	thoạp
waro	thoạt

wel	thẹ
weul	thẹo
wejl	thẹi
wecl	thẹc
wefl	thẹng
wenl	thẹn
weml	thẹm
wevl	thẹp
werl	thẹt

weo	thoẹ
weuo	thoẹo
wejo	thoẹi
weco	thoẹc
wefo	thoẹng
weno	thoẹn
wemo	thoẹm
wevo	thoẹp
wero	thoẹt

wdl	thệ
wdul	thệu
wdjl	thệy
wdcl	thệch
wdfl	thệnh
wdnl	thện
wdml	thệm
wdvl	thệp
wdrl	thệt

wdo	thuệ
wduo	thuệu
wdjo	thuệy
wdco	thuệch
wdfo	thuệnh
wdno	thuện
wdmo	thuệm
wdvo	thuệp
wdro	thuệt

wil	thị
wiul	thịu
wijl	thỵ
wicl	thịch
wifl	thịnh
winl	thịn
wiml	thịm
wivl	thịp
wirl	thịt

wio	thuị
wiuo	thuỵu
wijo	thuỵ
wico	thuỵch
wifo	thuỵnh
wino	thuỵn
wimo	thuỵm
wivo	thuỵp
wiro	thuỵt

wkl	thịa
wkul	thiệu
wkjl	thiệy
wkcl	thiệc
wkfl	thiệng
wknl	thiện
wkml	thiệm
wkvl	thiệp
wkrl	thiệt

wko	thuỵa
wkuo	thuyệu
wkjo	thuyệy
wkco	thuyệc
wkfo	thuyệng
wkno	thuyện
wkmo	thuyệm
wkvo	thuyệp
wkro	thuyệt

wll	thộ
wlul	thộu
wljl	thội
wlcl	thộc
wlfl	thộng
wlnl	thộn
wlml	thộm
wlvl	thộp
wlrl	thột

wlo	thoộ
wluo	thoộu
wljo	thoội
wlco	thoộc
wlfo	thoộng
wlno	thoộn
wlmo	thoộm
wlvo	thoộp
wlro	thoột

wsl	thạnh
wsul	thậu
wsjl	thậy
wscl	thậc
wsfl	thậng
wsnl	thận
wsml	thậm
wsvl	thập
wsrl	thật

wso	thoạnh
wsuo	thuậu
wsjo	thuậy
wsco	thuậc
wsfo	thuậng
wsno	thuận
wsmo	thuậm
wsvo	thuập
wsro	thuật

wql	thạch
wqul	thạu
wqjl	thạy
wqcl	thặc
wqfl	thặng
wqnl	thặn
wqml	thặm
wqvl	thặp
wqrl	thặt

wqo	thoạch
wquo	thoạu
wqjo	thoạy
wqco	thoặc
wqfo	thoặng
wqno	thoặn
wqmo	thoặm
wqvo	thoặp
wqro	thoặt

wtl	thự
wtul	thựu
wtjl	thựi
wtcl	thực
wtfl	thựng
wtnl	thựn
wtml	thựm
wtvl	thựp
wtrl	thựt

wto	thựa
wtuo	thượu
wtjo	thượi
wtco	thược
wtfo	thượng
wtno	thượn
wtmo	thượm
wtvo	thượp
wtro	thượt

wpl	thụ
wpul	thụu
wpjl	thụi
wpcl	thục
wpfl	thụng
wpnl	thụn
wpml	thụm
wpvl	thụp
wprl	thụt

wpo	thụa
wpuo	thuộu
wpjo	thuội
wpco	thuộc
wpfo	thuộng
wpno	thuộn
wpmo	thuộm
wpvo	thuộp
wpro	thuột

jwl	đợ
jwul	đợu
jwjl	đợi
jwcl	đợc
jwfl	đợng
jwnl	đợn
jwml	đợm
jwvl	đợp
jwrl	đợt

jwo	đuợ
jwuo	đuợu
jwjo	đuợi
jwco	đuợc
jwfo	đuợng
jwno	đuợn
jwmo	đuợm
jwvo	đuợp
jwro	đuợt

jol	đọ
joul	đọu
jojl	đọi
jocl	đọc
jofl	đọng
jonl	đọn
joml	đọm
jovl	đọp
jorl	đọt

joo	đoọ
jouo	đoọu
jojo	đoọi
joco	đoọc
jofo	đoọng
jono	đoọn
jomo	đoọm
jovo	đoọp
joro	đoọt

jal	đạ
jaul	đạo
jajl	đại
jacl	đạc
jafl	đạng
janl	đạn
jaml	đạm
javl	đạp
jarl	đạt

jao	đoạ
jauo	đoạo
jajo	đoại
jaco	đoạc
jafo	đoạng
jano	đoạn
jamo	đoạm
javo	đoạp
jaro	đoạt

jel	đẹ
jeul	đẹo
jejl	đẹi
jecl	đẹc
jefl	đẹng
jenl	đẹn
jeml	đẹm
jevl	đẹp
jerl	đẹt

jeo	đoẹ
jeuo	đoẹo
jejo	đoẹi
jeco	đoẹc
jefo	đoẹng
jeno	đoẹn
jemo	đoẹm
jevo	đoẹp
jero	đoẹt

jdl	đệ
jdul	đệu
jdjl	đệy
jdcl	đệch
jdfl	đệnh
jdnl	đện
jdml	đệm
jdvl	đệp
jdrl	đệt

jdo	đuệ
jduo	đuệu
jdjo	đuệy
jdco	đuệch
jdfo	đuệnh
jdno	đuện
jdmo	đuệm
jdvo	đuệp
jdro	đuệt

jil	đị
jiul	địu
jijl	đỵ
jicl	địch
jifl	định
jinl	địn
jiml	địm
jivl	địp
jirl	địt

jio	đuị
jiuo	đuỵu
jijo	đuỵ
jico	đuỵch
jifo	đuỵnh
jino	đuỵn
jimo	đuỵm
jivo	đuỵp
jiro	đuỵt

jkl	địa
jkul	điệu
jkjl	điệy
jkcl	điệc
jkfl	điệng
jknl	điện
jkml	điệm
jkvl	điệp
jkrl	điệt

jko	đuỵa
jkuo	đuyệu
jkjo	đuyệy
jkco	đuyệc
jkfo	đuyệng
jkno	đuyện
jkmo	đuyệm
jkvo	đuyệp
jkro	đuyệt

jll	độ
jlul	độu
jljl	đội
jlcl	độc
jlfl	động
jlnl	độn
jlml	độm
jlvl	độp
jlrl	đột

jlo	đoộ
jluo	đoộu
jljo	đoội
jlco	đoộc
jlfo	đoộng
jlno	đoộn
jlmo	đoộm
jlvo	đoộp
jlro	đoột

jsl	đạnh
jsul	đậu
jsjl	đậy
jscl	đậc
jsfl	đậng
jsnl	đận
jsml	đậm
jsvl	đập
jsrl	đật

jso	đoạnh
jsuo	đuậu
jsjo	đuậy
jsco	đuậc
jsfo	đuậng
jsno	đuận
jsmo	đuậm
jsvo	đuập
jsro	đuật

jql	đạch
jqul	đạu
jqjl	đạy
jqcl	đặc
jqfl	đặng
jqnl	đặn
jqml	đặm
jqvl	đặp
jqrl	đặt

jqo	đoạch
jquo	đoạu
jqjo	đoạy
jqco	đoặc
jqfo	đoặng
jqno	đoặn
jqmo	đoặm
jqvo	đoặp
jqro	đoặt

jtl	đự
jtul	đựu
jtjl	đựi
jtcl	đực
jtfl	đựng
jtnl	đựn
jtml	đựm
jtvl	đựp
jtrl	đựt

jto	đựa
jtuo	đượu
jtjo	đượi
jtco	được
jtfo	đượng
jtno	đượn
jtmo	đượm
jtvo	đượp
jtro	đượt

jpl	đụ
jpul	đụu
jpjl	đụi
jpcl	đục
jpfl	đụng
jpnl	đụn
jpml	đụm
jpvl	đụp
jprl	đụt

jpo	đụa
jpuo	đuộu
jpjo	đuội
jpco	đuộc
jpfo	đuộng
jpno	đuộn
jpmo	đuộm
jpvo	đuộp
jpro	đuột

dwl	dợ
dwul	dợu
dwjl	dợi
dwcl	dợc
dwfl	dợng
dwnl	dợn
dwml	dợm
dwvl	dợp
dwrl	dợt

dwo	duợ
dwuo	duợu
dwjo	duợi
dwco	duợc
dwfo	duợng
dwno	duợn
dwmo	duợm
dwvo	duợp
dwro	duợt

dol	dọ
doul	dọu
dojl	dọi
docl	dọc
dofl	dọng
donl	dọn
doml	dọm
dovl	dọp
dorl	dọt

doo	doọ
douo	doọu
dojo	doọi
doco	doọc
dofo	doọng
dono	doọn
domo	doọm
dovo	doọp
doro	doọt

dal	dạ
daul	dạo
dajl	dại
dacl	dạc
dafl	dạng
danl	dạn
daml	dạm
davl	dạp
darl	dạt

dao	doạ
dauo	doạo
dajo	doại
daco	doạc
dafo	doạng
dano	doạn
damo	doạm
davo	doạp
daro	doạt

del	dẹ
deul	dẹo
dejl	dẹi
decl	dẹc
defl	dẹng
denl	dẹn
deml	dẹm
devl	dẹp
derl	dẹt

deo	doẹ
deuo	doẹo
dejo	doẹi
deco	doẹc
defo	doẹng
deno	doẹn
demo	doẹm
devo	doẹp
dero	doẹt

ddl	dệ
ddul	dệu
ddjl	dệy
ddcl	dệch
ddfl	dệnh
ddnl	dện
ddml	dệm
ddvl	dệp
ddrl	dệt

ddo	duệ
dduo	duệu
ddjo	duệy
ddco	duệch
ddfo	duệnh
ddno	duện
ddmo	duệm
ddvo	duệp
ddro	duệt

dil	dị
diul	dịu
dijl	dỵ
dicl	dịch
difl	dịnh
dinl	dịn
diml	dịm
divl	dịp
dirl	dịt

dio	duị
diuo	duỵu
dijo	duỵ
dico	duỵch
difo	duỵnh
dino	duỵn
dimo	duỵm
divo	duỵp
diro	duỵt

dkl	dịa
dkul	diệu
dkjl	diệy
dkcl	diệc
dkfl	diệng
dknl	diện
dkml	diệm
dkvl	diệp
dkrl	diệt

dko	duỵa
dkuo	duyệu
dkjo	duyệy
dkco	duyệc
dkfo	duyệng
dkno	duyện
dkmo	duyệm
dkvo	duyệp
dkro	duyệt

dll	dộ
dlul	dộu
dljl	dội
dlcl	dộc
dlfl	dộng
dlnl	dộn
dlml	dộm
dlvl	dộp
dlrl	dột

dlo	doộ
dluo	doộu
dljo	doội
dlco	doộc
dlfo	doộng
dlno	doộn
dlmo	doộm
dlvo	doộp
dlro	doột

dsl	dạnh
dsul	dậu
dsjl	dậy
dscl	dậc
dsfl	dậng
dsnl	dận
dsml	dậm
dsvl	dập
dsrl	dật

dso	doạnh
dsuo	duậu
dsjo	duậy
dsco	duậc
dsfo	duậng
dsno	duận
dsmo	duậm
dsvo	duập
dsro	duật

dql	dạch
dqul	dạu
dqjl	dạy
dqcl	dặc
dqfl	dặng
dqnl	dặn
dqml	dặm
dqvl	dặp
dqrl	dặt

dqo	doạch
dquo	doạu
dqjo	doạy
dqco	doặc
dqfo	doặng
dqno	doặn
dqmo	doặm
dqvo	doặp
dqro	doặt

dtl	dự
dtul	dựu
dtjl	dựi
dtcl	dực
dtfl	dựng
dtnl	dựn
dtml	dựm
dtvl	dựp
dtrl	dựt

dto	dựa
dtuo	dượu
dtjo	dượi
dtco	dược
dtfo	dượng
dtno	dượn
dtmo	dượm
dtvo	dượp
dtro	dượt

dpl	dụ
dpul	dụu
dpjl	dụi
dpcl	dục
dpfl	dụng
dpnl	dụn
dpml	dụm
dpvl	dụp
dprl	dụt

dpo	dụa
dpuo	duộu
dpjo	duội
dpco	duộc
dpfo	duộng
dpno	duộn
dpmo	duộm
dpvo	duộp
dpro	duột

uwl	chợ
uwul	chợu
uwjl	chợi
uwcl	chợc
uwfl	chợng
uwnl	chợn
uwml	chợm
uwvl	chợp
uwrl	chợt

uwo	chuợ
uwuo	chuợu
uwjo	chuợi
uwco	chuợc
uwfo	chuợng
uwno	chuợn
uwmo	chuợm
uwvo	chuợp
uwro	chuợt

uol	chọ
uoul	chọu
uojl	chọi
uocl	chọc
uofl	chọng
uonl	chọn
uoml	chọm
uovl	chọp
uorl	chọt

uoo	choọ
uouo	choọu
uojo	choọi
uoco	choọc
uofo	choọng
uono	choọn
uomo	choọm
uovo	choọp
uoro	choọt

ual	chạ
uaul	chạo
uajl	chại
uacl	chạc
uafl	chạng
uanl	chạn
uaml	chạm
uavl	chạp
uarl	chạt

uao	choạ
uauo	choạo
uajo	choại
uaco	choạc
uafo	choạng
uano	choạn
uamo	choạm
uavo	choạp
uaro	choạt

uel	chẹ
ueul	chẹo
uejl	chẹi
uecl	chẹc
uefl	chẹng
uenl	chẹn
ueml	chẹm
uevl	chẹp
uerl	chẹt

ueo	choẹ
ueuo	choẹo
uejo	choẹi
ueco	choẹc
uefo	choẹng
ueno	choẹn
uemo	choẹm
uevo	choẹp
uero	choẹt

udl	chệ
udul	chệu
udjl	chệy
udcl	chệch
udfl	chệnh
udnl	chện
udml	chệm
udvl	chệp
udrl	chệt

udo	chuệ
uduo	chuệu
udjo	chuệy
udco	chuệch
udfo	chuệnh
udno	chuện
udmo	chuệm
udvo	chuệp
udro	chuệt

uil	chị
uiul	chịu
uijl	chỵ
uicl	chịch
uifl	chịnh
uinl	chịn
uiml	chịm
uivl	chịp
uirl	chịt

uio	chuị
uiuo	chuỵu
uijo	chuỵ
uico	chuỵch
uifo	chuỵnh
uino	chuỵn
uimo	chuỵm
uivo	chuỵp
uiro	chuỵt

ukl	chịa
ukul	chiệu
ukjl	chiệy
ukcl	chiệc
ukfl	chiệng
uknl	chiện
ukml	chiệm
ukvl	chiệp
ukrl	chiệt

uko	chuỵa
ukuo	chuyệu
ukjo	chuyệy
ukco	chuyệc
ukfo	chuyệng
ukno	chuyện
ukmo	chuyệm
ukvo	chuyệp
ukro	chuyệt

ull	chộ
ulul	chộu
uljl	chội
ulcl	chộc
ulfl	chộng
ulnl	chộn
ulml	chộm
ulvl	chộp
ulrl	chột

ulo	choộ
uluo	choộu
uljo	choội
ulco	choộc
ulfo	choộng
ulno	choộn
ulmo	choộm
ulvo	choộp
ulro	choột

usl	chạnh
usul	chậu
usjl	chậy
uscl	chậc
usfl	chậng
usnl	chận
usml	chậm
usvl	chập
usrl	chật

uso	choạnh
usuo	chuậu
usjo	chuậy
usco	chuậc
usfo	chuậng
usno	chuận
usmo	chuậm
usvo	chuập
usro	chuật

uql	chạch
uqul	chạu
uqjl	chạy
uqcl	chặc
uqfl	chặng
uqnl	chặn
uqml	chặm
uqvl	chặp
uqrl	chặt

uqo	choạch
uquo	choạu
uqjo	choạy
uqco	choặc
uqfo	choặng
uqno	choặn
uqmo	choặm
uqvo	choặp
uqro	choặt

utl	chự
utul	chựu
utjl	chựi
utcl	chực
utfl	chựng
utnl	chựn
utml	chựm
utvl	chựp
utrl	chựt

uto	chựa
utuo	chượu
utjo	chượi
utco	chược
utfo	chượng
utno	chượn
utmo	chượm
utvo	chượp
utro	chượt

upl	chụ
upul	chụu
upjl	chụi
upcl	chục
upfl	chụng
upnl	chụn
upml	chụm
upvl	chụp
uprl	chụt

upo	chụa
upuo	chuộu
upjo	chuội
upco	chuộc
upfo	chuộng
upno	chuộn
upmo	chuộm
upvo	chuộp
upro	chuột

owl	trợ
owul	trợu
owjl	trợi
owcl	trợc
owfl	trợng
ownl	trợn
owml	trợm
owvl	trợp
owrl	trợt

owo	truợ
owuo	truợu
owjo	truợi
owco	truợc
owfo	truợng
owno	truợn
owmo	truợm
owvo	truợp
owro	truợt

ool	trọ
ooul	trọu
oojl	trọi
oocl	trọc
oofl	trọng
oonl	trọn
ooml	trọm
oovl	trọp
oorl	trọt

ooo	troọ
oouo	troọu
oojo	troọi
ooco	troọc
oofo	troọng
oono	troọn
oomo	troọm
oovo	troọp
ooro	troọt

oal	trạ
oaul	trạo
oajl	trại
oacl	trạc
oafl	trạng
oanl	trạn
oaml	trạm
oavl	trạp
oarl	trạt

oao	troạ
oauo	troạo
oajo	troại
oaco	troạc
oafo	troạng
oano	troạn
oamo	troạm
oavo	troạp
oaro	troạt

oel	trẹ
oeul	trẹo
oejl	trẹi
oecl	trẹc
oefl	trẹng
oenl	trẹn
oeml	trẹm
oevl	trẹp
oerl	trẹt

oeo	troẹ
oeuo	troẹo
oejo	troẹi
oeco	troẹc
oefo	troẹng
oeno	troẹn
oemo	troẹm
oevo	troẹp
oero	troẹt

odl	trệ
odul	trệu
odjl	trệy
odcl	trệch
odfl	trệnh
odnl	trện
odml	trệm
odvl	trệp
odrl	trệt

odo	truệ
oduo	truệu
odjo	truệy
odco	truệch
odfo	truệnh
odno	truện
odmo	truệm
odvo	truệp
odro	truệt

oil	trị
oiul	trịu
oijl	trỵ
oicl	trịch
oifl	trịnh
oinl	trịn
oiml	trịm
oivl	trịp
oirl	trịt

oio	truị
oiuo	truỵu
oijo	truỵ
oico	truỵch
oifo	truỵnh
oino	truỵn
oimo	truỵm
oivo	truỵp
oiro	truỵt

okl	trịa
okul	triệu
okjl	triệy
okcl	triệc
okfl	triệng
oknl	triện
okml	triệm
okvl	triệp
okrl	triệt

oko	truỵa
okuo	truyệu
okjo	truyệy
okco	truyệc
okfo	truyệng
okno	truyện
okmo	truyệm
okvo	truyệp
okro	truyệt

oll	trộ
olul	trộu
oljl	trội
olcl	trộc
olfl	trộng
olnl	trộn
olml	trộm
olvl	trộp
olrl	trột

olo	troộ
oluo	troộu
oljo	troội
olco	troộc
olfo	troộng
olno	troộn
olmo	troộm
olvo	troộp
olro	troột

osl	trạnh
osul	trậu
osjl	trậy
oscl	trậc
osfl	trậng
osnl	trận
osml	trậm
osvl	trập
osrl	trật

oso	troạnh
osuo	truậu
osjo	truậy
osco	truậc
osfo	truậng
osno	truận
osmo	truậm
osvo	truập
osro	truật

oql	trạch
oqul	trạu
oqjl	trạy
oqcl	trặc
oqfl	trặng
oqnl	trặn
oqml	trặm
oqvl	trặp
oqrl	trặt

oqo	troạch
oquo	troạu
oqjo	troạy
oqco	troặc
oqfo	troặng
oqno	troặn
oqmo	troặm
oqvo	troặp
oqro	troặt

otl	trự
otul	trựu
otjl	trựi
otcl	trực
otfl	trựng
otnl	trựn
otml	trựm
otvl	trựp
otrl	trựt

oto	trựa
otuo	trượu
otjo	trượi
otco	trược
otfo	trượng
otno	trượn
otmo	trượm
otvo	trượp
otro	trượt

opl	trụ
opul	trụu
opjl	trụi
opcl	trục
opfl	trụng
opnl	trụn
opml	trụm
opvl	trụp
oprl	trụt

opo	trụa
opuo	truộu
opjo	truội
opco	truộc
opfo	truộng
opno	truộn
opmo	truộm
opvo	truộp
opro	truột

rwl	rợ
rwul	rợu
rwjl	rợi
rwcl	rợc
rwfl	rợng
rwnl	rợn
rwml	rợm
rwvl	rợp
rwrl	rợt

rwo	ruợ
rwuo	ruợu
rwjo	ruợi
rwco	ruợc
rwfo	ruợng
rwno	ruợn
rwmo	ruợm
rwvo	ruợp
rwro	ruợt

rol	rọ
roul	rọu
rojl	rọi
rocl	rọc
rofl	rọng
ronl	rọn
roml	rọm
rovl	rọp
rorl	rọt

roo	roọ
rouo	roọu
rojo	roọi
roco	roọc
rofo	roọng
rono	roọn
romo	roọm
rovo	roọp
roro	roọt

ral	rạ
raul	rạo
rajl	rại
racl	rạc
rafl	rạng
ranl	rạn
raml	rạm
ravl	rạp
rarl	rạt

rao	roạ
rauo	roạo
rajo	roại
raco	roạc
rafo	roạng
rano	roạn
ramo	roạm
ravo	roạp
raro	roạt

rel	rẹ
reul	rẹo
rejl	rẹi
recl	rẹc
refl	rẹng
renl	rẹn
reml	rẹm
revl	rẹp
rerl	rẹt

reo	roẹ
reuo	roẹo
rejo	roẹi
reco	roẹc
refo	roẹng
reno	roẹn
remo	roẹm
revo	roẹp
rero	roẹt

rdl	rệ
rdul	rệu
rdjl	rệy
rdcl	rệch
rdfl	rệnh
rdnl	rện
rdml	rệm
rdvl	rệp
rdrl	rệt

rdo	ruệ
rduo	ruệu
rdjo	ruệy
rdco	ruệch
rdfo	ruệnh
rdno	ruện
rdmo	ruệm
rdvo	ruệp
rdro	ruệt

ril	rị
riul	rịu
rijl	rỵ
ricl	rịch
rifl	rịnh
rinl	rịn
riml	rịm
rivl	rịp
rirl	rịt

rio	ruị
riuo	ruỵu
rijo	ruỵ
rico	ruỵch
rifo	ruỵnh
rino	ruỵn
rimo	ruỵm
rivo	ruỵp
riro	ruỵt

rkl	rịa
rkul	riệu
rkjl	riệy
rkcl	riệc
rkfl	riệng
rknl	riện
rkml	riệm
rkvl	riệp
rkrl	riệt

rko	ruỵa
rkuo	ruyệu
rkjo	ruyệy
rkco	ruyệc
rkfo	ruyệng
rkno	ruyện
rkmo	ruyệm
rkvo	ruyệp
rkro	ruyệt

rll	rộ
rlul	rộu
rljl	rội
rlcl	rộc
rlfl	rộng
rlnl	rộn
rlml	rộm
rlvl	rộp
rlrl	rột

rlo	roộ
rluo	roộu
rljo	roội
rlco	roộc
rlfo	roộng
rlno	roộn
rlmo	roộm
rlvo	roộp
rlro	roột

rsl	rạnh
rsul	rậu
rsjl	rậy
rscl	rậc
