
qw1l	tợ
jwvl	đợp
jwrl	đợt

jw1o	đuợ
jwuo	đuợu
jwjo	đuợi
jwco	đuợc
jwfo	đuợng
jwno	đuợn
jwmo	đuợm
jwvo	đuợp
jwro	đuợt

jo1l	đọ
joul	đọu
jojl	đọi
jocl	đọc
jofl	đọng
jonl	đọn
joml	đọm
jovl	đọp
jorl	đọt

jo1o	đoọ
jouo	đoọu
jojo	đoọi
joco	đoọc
jofo	đoọng
jono	đoọn
jomo	đoọm
jovo	đoọp
joro	đoọt

ja1l	đạ
jaul	đạo
jajl	đại
jacl	đạc
jafl	đạng
janl	đạn
jaml	đạm
javl	đạp
jarl	đạt

ja1o	đoạ
jauo	đoạo
jajo	đoại
jaco	đoạc
jafo	đoạng
jano	đoạn
jamo	đoạm
javo	đoạp
jaro	đoạt

je1l	đẹ
jeul	đẹo
jejl	đẹi
jecl	đẹc
jefl	đẹng
jenl	đẹn
jeml	đẹm
jevl	đẹp
jerl	đẹt

je1o	đoẹ
jeuo	đoẹo
jejo	đoẹi
jeco	đoẹc
jefo	đoẹng
jeno	đoẹn
jemo	đoẹm
jevo	đoẹp
jero	đoẹt

jd1l	đệ
jdul	đệu
jdjl	đệy
jdcl	đệch
jdfl	đệnh
jdnl	đện
jdml	đệm
jdvl	đệp
jdrl	đệt

jd1o	đuệ
jduo	đuệu
jdjo	đuệy
jdco	đuệch
jdfo	đuệnh
jdno	đuện
jdmo	đuệm
jdvo	đuệp
jdro	đuệt

ji1l	đị
jiul	địu
jijl	đỵ
jicl	địch
jifl	định
jinl	địn
jiml	địm
jivl	địp
jirl	địt

ji1o	đuị
jiuo	đuỵu
jijo	đuỵ
jico	đuỵch
jifo	đuỵnh
jino	đuỵn
jimo	đuỵm
jivo	đuỵp
jiro	đuỵt

jk1l	địa
jkul	điệu
jkjl	điệy
jkcl	điệc
jkfl	điệng
jknl	điện
jkml	điệm
jkvl	điệp
jkrl	điệt

jk1o	đuỵa
jkuo	đuyệu
jkjo	đuyệy
jkco	đuyệc
jkfo	đuyệng
jkno	đuyện
jkmo	đuyệm
jkvo	đuyệp
jkro	đuyệt

jl1l	độ
jlul	độu
jljl	đội
jlcl	độc
jlfl	động
jlnl	độn
jlml	độm
jlvl	độp
jlrl	đột

jl1o	đoộ
jluo	đoộu
jljo	đoội
jlco	đoộc
jlfo	đoộng
jlno	đoộn
jlmo	đoộm
jlvo	đoộp
jlro	đoột

js1l	đạnh
jsul	đậu
jsjl	đậy
jscl	đậc
jsfl	đậng
jsnl	đận
jsml	đậm
jsvl	đập
jsrl	đật

js1o	đoạnh
jsuo	đuậu
jsjo	đuậy
jsco	đuậc
jsfo	đuậng
jsno	đuận
jsmo	đuậm
jsvo	đuập
jsro	đuật

jq1l	đạch
jqul	đạu
jqjl	đạy
jqcl	đặc
jqfl	đặng
jqnl	đặn
jqml	đặm
jqvl	đặp
jqrl	đặt

jq1o	đoạch
jquo	đoạu
jqjo	đoạy
jqco	đoặc
jqfo	đoặng
jqno	đoặn
jqmo	đoặm
jqvo	đoặp
jqro	đoặt

jt1l	đự
jtul	đựu
jtjl	đựi
jtcl	đực
jtfl	đựng
jtnl	đựn
jtml	đựm
jtvl	đựp
jtrl	đựt

jt1o	đựa
jtuo	đượu
jtjo	đượi
jtco	được
jtfo	đượng
jtno	đượn
jtmo	đượm
jtvo	đượp
jtro	đượt

jp1l	đụ
jpul	đụu
jpjl	đụi
jpcl	đục
jpfl	đụng
jpnl	đụn
jpml	đụm
jpvl	đụp
jprl	đụt

jp1o	đụa
jpuo	đuộu
jpjo	đuội
jpco	đuộc
jpfo	đuộng
jpno	đuộn
jpmo	đuộm
jpvo	đuộp
jpro	đuột

dw1l	dợ
dwul	dợu
dwjl	dợi
dwcl	dợc
dwfl	dợng
dwnl	dợn
dwml	dợm
dwvl	dợp
dwrl	dợt

dw1o	duợ
dwuo	duợu
dwjo	duợi
dwco	duợc
dwfo	duợng
dwno	duợn
dwmo	duợm
dwvo	duợp
dwro	duợt

do1l	dọ
doul	dọu
dojl	dọi
docl	dọc
dofl	dọng
donl	dọn
doml	dọm
dovl	dọp
dorl	dọt

do1o	doọ
douo	doọu
dojo	doọi
doco	doọc
dofo	doọng
dono	doọn
domo	doọm
dovo	doọp
doro	doọt

da1l	dạ
daul	dạo
dajl	dại
dacl	dạc
dafl	dạng
danl	dạn
daml	dạm
davl	dạp
darl	dạt

da1o	doạ
dauo	doạo
dajo	doại
daco	doạc
dafo	doạng
dano	doạn
damo	doạm
davo	doạp
daro	doạt

de1l	dẹ
deul	dẹo
dejl	dẹi
decl	dẹc
defl	dẹng
denl	dẹn
deml	dẹm
devl	dẹp
derl	dẹt

de1o	doẹ
deuo	doẹo
dejo	doẹi
deco	doẹc
defo	doẹng
deno	doẹn
demo	doẹm
devo	doẹp
dero	doẹt

dd1l	dệ
ddul	dệu
ddjl	dệy
ddcl	dệch
ddfl	dệnh
ddnl	dện
ddml	dệm
ddvl	dệp
ddrl	dệt

dd1o	duệ
dduo	duệu
ddjo	duệy
ddco	duệch
ddfo	duệnh
ddno	duện
ddmo	duệm
ddvo	duệp
ddro	duệt

di1l	dị
diul	dịu
dijl	dỵ
dicl	dịch
difl	dịnh
dinl	dịn
diml	dịm
divl	dịp
dirl	dịt

di1o	duị
diuo	duỵu
dijo	duỵ
dico	duỵch
difo	duỵnh
dino	duỵn
dimo	duỵm
divo	duỵp
diro	duỵt

dk1l	dịa
dkul	diệu
dkjl	diệy
dkcl	diệc
dkfl	diệng
dknl	diện
dkml	diệm
dkvl	diệp
dkrl	diệt

dk1o	duỵa
dkuo	duyệu
dkjo	duyệy
dkco	duyệc
dkfo	duyệng
dkno	duyện
dkmo	duyệm
dkvo	duyệp
dkro	duyệt

dl1l	dộ
dlul	dộu
dljl	dội
dlcl	dộc
dlfl	dộng
dlnl	dộn
dlml	dộm
dlvl	dộp
dlrl	dột

dl1o	doộ
dluo	doộu
dljo	doội
dlco	doộc
dlfo	doộng
dlno	doộn
dlmo	doộm
dlvo	doộp
dlro	doột

ds1l	dạnh
dsul	dậu
dsjl	dậy
dscl	dậc
dsfl	dậng
dsnl	dận
dsml	dậm
dsvl	dập
dsrl	dật

ds1o	doạnh
dsuo	duậu
dsjo	duậy
dsco	duậc
dsfo	duậng
dsno	duận
dsmo	duậm
dsvo	duập
dsro	duật

dq1l	dạch
dqul	dạu
dqjl	dạy
dqcl	dặc
dqfl	dặng
dqnl	dặn
dqml	dặm
dqvl	dặp
dqrl	dặt

dq1o	doạch
dquo	doạu
dqjo	doạy
dqco	doặc
dqfo	doặng
dqno	doặn
dqmo	doặm
dqvo	doặp
dqro	doặt

dt1l	dự
dtul	dựu
dtjl	dựi
dtcl	dực
dtfl	dựng
dtnl	dựn
dtml	dựm
dtvl	dựp
dtrl	dựt

dt1o	dựa
dtuo	dượu
dtjo	dượi
dtco	dược
dtfo	dượng
dtno	dượn
dtmo	dượm
dtvo	dượp
dtro	dượt

dp1l	dụ
dpul	dụu
dpjl	dụi
dpcl	dục
dpfl	dụng
dpnl	dụn
dpml	dụm
dpvl	dụp
dprl	dụt

dp1o	dụa
dpuo	duộu
dpjo	duội
dpco	duộc
dpfo	duộng
dpno	duộn
dpmo	duộm
dpvo	duộp
dpro	duột

uw1l	chợ
uwul	chợu
uwjl	chợi
uwcl	chợc
uwfl	chợng
uwnl	chợn
uwml	chợm
uwvl	chợp
uwrl	chợt

uw1o	chuợ
uwuo	chuợu
uwjo	chuợi
uwco	chuợc
uwfo	chuợng
uwno	chuợn
uwmo	chuợm
uwvo	chuợp
uwro	chuợt

uo1l	chọ
uoul	chọu
uojl	chọi
uocl	chọc
uofl	chọng
uonl	chọn
uoml	chọm
uovl	chọp
uorl	chọt

uo1o	choọ
uouo	choọu
uojo	choọi
uoco	choọc
uofo	choọng
uono	choọn
uomo	choọm
uovo	choọp
uoro	choọt

ua1l	chạ
uaul	chạo
uajl	chại
uacl	chạc
uafl	chạng
uanl	chạn
uaml	chạm
uavl	chạp
uarl	chạt

ua1o	choạ
uauo	choạo
uajo	choại
uaco	choạc
uafo	choạng
uano	choạn
uamo	choạm
uavo	choạp
uaro	choạt

ue1l	chẹ
ueul	chẹo
uejl	chẹi
uecl	chẹc
uefl	chẹng
uenl	chẹn
ueml	chẹm
uevl	chẹp
uerl	chẹt

ue1o	choẹ
ueuo	choẹo
uejo	choẹi
ueco	choẹc
uefo	choẹng
ueno	choẹn
uemo	choẹm
uevo	choẹp
uero	choẹt

ud1l	chệ
udul	chệu
udjl	chệy
udcl	chệch
udfl	chệnh
udnl	chện
udml	chệm
udvl	chệp
udrl	chệt

ud1o	chuệ
uduo	chuệu
udjo	chuệy
udco	chuệch
udfo	chuệnh
udno	chuện
udmo	chuệm
udvo	chuệp
udro	chuệt

ui1l	chị
uiul	chịu
uijl	chỵ
uicl	chịch
uifl	chịnh
uinl	chịn
uiml	chịm
uivl	chịp
uirl	chịt

ui1o	chuị
uiuo	chuỵu
uijo	chuỵ
uico	chuỵch
uifo	chuỵnh
uino	chuỵn
uimo	chuỵm
uivo	chuỵp
uiro	chuỵt

uk1l	chịa
ukul	chiệu
ukjl	chiệy
ukcl	chiệc
ukfl	chiệng
uknl	chiện
ukml	chiệm
ukvl	chiệp
ukrl	chiệt

uk1o	chuỵa
ukuo	chuyệu
ukjo	chuyệy
ukco	chuyệc
ukfo	chuyệng
ukno	chuyện
ukmo	chuyệm
ukvo	chuyệp
ukro	chuyệt

ul1l	chộ
ulul	chộu
uljl	chội
ulcl	chộc
ulfl	chộng
ulnl	chộn
ulml	chộm
ulvl	chộp
ulrl	chột

ul1o	choộ
uluo	choộu
uljo	choội
ulco	choộc
ulfo	choộng
ulno	choộn
ulmo	choộm
ulvo	choộp
ulro	choột

us1l	chạnh
usul	chậu
usjl	chậy
uscl	chậc
usfl	chậng
usnl	chận
usml	chậm
usvl	chập
usrl	chật

us1o	choạnh
usuo	chuậu
usjo	chuậy
usco	chuậc
usfo	chuậng
usno	chuận
usmo	chuậm
usvo	chuập
usro	chuật

uq1l	chạch
uqul	chạu
uqjl	chạy
uqcl	chặc
uqfl	chặng
uqnl	chặn
uqml	chặm
uqvl	chặp
uqrl	chặt

uq1o	choạch
uquo	choạu
uqjo	choạy
uqco	choặc
uqfo	choặng
uqno	choặn
uqmo	choặm
uqvo	choặp
uqro	choặt

ut1l	chự
utul	chựu
utjl	chựi
utcl	chực
utfl	chựng
utnl	chựn
utml	chựm
utvl	chựp
utrl	chựt

ut1o	chựa
utuo	chượu
utjo	chượi
utco	chược
utfo	chượng
utno	chượn
utmo	chượm
utvo	chượp
utro	chượt

up1l	chụ
upul	chụu
upjl	chụi
upcl	chục
upfl	chụng
upnl	chụn
upml	chụm
upvl	chụp
uprl	chụt

up1o	chụa
upuo	chuộu
upjo	chuội
upco	chuộc
upfo	chuộng
upno	chuộn
upmo	chuộm
upvo	chuộp
upro	chuột

ow1l	trợ
owul	trợu
owjl	trợi
owcl	trợc
owfl	trợng
ownl	trợn
owml	trợm
owvl	trợp
owrl	trợt

ow1o	truợ
owuo	truợu
owjo	truợi
owco	truợc
owfo	truợng
owno	truợn
owmo	truợm
owvo	truợp
owro	truợt

oo1l	trọ
ooul	trọu
oojl	trọi
oocl	trọc
oofl	trọng
oonl	trọn
ooml	trọm
oovl	trọp
oorl	trọt

oo1o	troọ
oouo	troọu
oojo	troọi
ooco	troọc
oofo	troọng
oono	troọn
oomo	troọm
oovo	troọp
ooro	troọt

oa1l	trạ
oaul	trạo
oajl	trại
oacl	trạc
oafl	trạng
oanl	trạn
oaml	trạm
oavl	trạp
oarl	trạt

oa1o	troạ
oauo	troạo
oajo	troại
oaco	troạc
oafo	troạng
oano	troạn
oamo	troạm
oavo	troạp
oaro	troạt

oe1l	trẹ
oeul	trẹo
oejl	trẹi
oecl	trẹc
oefl	trẹng
oenl	trẹn
oeml	trẹm
oevl	trẹp
oerl	trẹt

oe1o	troẹ
oeuo	troẹo
oejo	troẹi
oeco	troẹc
oefo	troẹng
oeno	troẹn
oemo	troẹm
oevo	troẹp
oero	troẹt

od1l	trệ
odul	trệu
odjl	trệy
odcl	trệch
odfl	trệnh
odnl	trện
odml	trệm
odvl	trệp
odrl	trệt

od1o	truệ
oduo	truệu
odjo	truệy
odco	truệch
odfo	truệnh
odno	truện
odmo	truệm
odvo	truệp
odro	truệt

oi1l	trị
oiul	trịu
oijl	trỵ
oicl	trịch
oifl	trịnh
oinl	trịn
oiml	trịm
oivl	trịp
oirl	trịt

oi1o	truị
oiuo	truỵu
oijo	truỵ
oico	truỵch
oifo	truỵnh
oino	truỵn
oimo	truỵm
oivo	truỵp
oiro	truỵt

ok1l	trịa
okul	triệu
okjl	triệy
okcl	triệc
okfl	triệng
oknl	triện
okml	triệm
okvl	triệp
okrl	triệt

ok1o	truỵa
okuo	truyệu
okjo	truyệy
okco	truyệc
okfo	truyệng
okno	truyện
okmo	truyệm
okvo	truyệp
okro	truyệt

ol1l	trộ
olul	trộu
oljl	trội
olcl	trộc
olfl	trộng
olnl	trộn
olml	trộm
olvl	trộp
olrl	trột

ol1o	troộ
oluo	troộu
oljo	troội
olco	troộc
olfo	troộng
olno	troộn
olmo	troộm
olvo	troộp
olro	troột

os1l	trạnh
osul	trậu
osjl	trậy
oscl	trậc
osfl	trậng
osnl	trận
osml	trậm
osvl	trập
osrl	trật

os1o	troạnh
osuo	truậu
osjo	truậy
osco	truậc
osfo	truậng
osno	truận
osmo	truậm
osvo	truập
osro	truật

oq1l	trạch
oqul	trạu
oqjl	trạy
oqcl	trặc
oqfl	trặng
oqnl	trặn
oqml	trặm
oqvl	trặp
oqrl	trặt

oq1o	troạch
oquo	troạu
oqjo	troạy
oqco	troặc
oqfo	troặng
oqno	troặn
oqmo	troặm
oqvo	troặp
oqro	troặt

ot1l	trự
otul	trựu
otjl	trựi
otcl	trực
otfl	trựng
otnl	trựn
otml	trựm
otvl	trựp
otrl	trựt

ot1o	trựa
otuo	trượu
otjo	trượi
otco	trược
otfo	trượng
otno	trượn
otmo	trượm
otvo	trượp
otro	trượt

op1l	trụ
opul	trụu
opjl	trụi
opcl	trục
opfl	trụng
opnl	trụn
opml	trụm
opvl	trụp
oprl	trụt

op1o	trụa
opuo	truộu
opjo	truội
opco	truộc
opfo	truộng
opno	truộn
opmo	truộm
opvo	truộp
opro	truột

rw1l	rợ
rwul	rợu
rwjl	rợi
rwcl	rợc
rwfl	rợng
rwnl	rợn
rwml	rợm
rwvl	rợp
rwrl	rợt

rw1o	ruợ
rwuo	ruợu
rwjo	ruợi
rwco	ruợc
rwfo	ruợng
rwno	ruợn
rwmo	ruợm
rwvo	ruợp
rwro	ruợt

ro1l	rọ
roul	rọu
rojl	rọi
rocl	rọc
rofl	rọng
ronl	rọn
roml	rọm
rovl	rọp
rorl	rọt

ro1o	roọ
rouo	roọu
rojo	roọi
roco	roọc
rofo	roọng
rono	roọn
romo	roọm
rovo	roọp
roro	roọt

ra1l	rạ
raul	rạo
rajl	rại
racl	rạc
rafl	rạng
ranl	rạn
raml	rạm
ravl	rạp
rarl	rạt

ra1o	roạ
rauo	roạo
rajo	roại
raco	roạc
rafo	roạng
rano	roạn
ramo	roạm
ravo	roạp
raro	roạt

re1l	rẹ
reul	rẹo
rejl	rẹi
recl	rẹc
refl	rẹng
renl	rẹn
reml	rẹm
revl	rẹp
rerl	rẹt

re1o	roẹ
reuo	roẹo
rejo	roẹi
reco	roẹc
refo	roẹng
reno	roẹn
remo	roẹm
revo	roẹp
rero	roẹt

rd1l	rệ
rdul	rệu
rdjl	rệy
rdcl	rệch
rdfl	rệnh
rdnl	rện
rdml	rệm
rdvl	rệp
rdrl	rệt

rd1o	ruệ
rduo	ruệu
rdjo	ruệy
rdco	ruệch
rdfo	ruệnh
rdno	ruện
rdmo	ruệm
rdvo	ruệp
rdro	ruệt

ri1l	rị
riul	rịu
rijl	rỵ
ricl	rịch
rifl	rịnh
rinl	rịn
riml	rịm
rivl	rịp
rirl	rịt

ri1o	ruị
riuo	ruỵu
rijo	ruỵ
rico	ruỵch
rifo	ruỵnh
rino	ruỵn
rimo	ruỵm
rivo	ruỵp
riro	ruỵt

rk1l	rịa
rkul	riệu
rkjl	riệy
rkcl	riệc
rkfl	riệng
rknl	riện
rkml	riệm
rkvl	riệp
rkrl	riệt

rk1o	ruỵa
rkuo	ruyệu
rkjo	ruyệy
rkco	ruyệc
rkfo	ruyệng
rkno	ruyện
rkmo	ruyệm
rkvo	ruyệp
rkro	ruyệt

rl1l	rộ
rlul	rộu
rljl	rội
rlcl	rộc
rlfl	rộng
rlnl	rộn
rlml	rộm
rlvl	rộp
rlrl	rột

rl1o	roộ
rluo	roộu
rljo	roội
rlco	roộc
rlfo	roộng
rlno	roộn
rlmo	roộm
rlvo	roộp
rlro	roột

rs1l	rạnh
rsul	rậu
rsjl	rậy
rscl	rậc
rsfl	rậng
rsnl	rận
rsml	rậm
rsvl	rập
rsrl	rật

rs1o	roạnh
rsuo	ruậu
rsjo	ruậy
rsco	ruậc
rsfo	ruậng
rsno	ruận
rsmo	ruậm
rsvo	ruập
rsro	ruật

rq1l	rạch
rqul	rạu
rqjl	rạy
rqcl	rặc
rqfl	rặng
rqnl	rặn
rqml	rặm
rqvl	rặp
rqrl	rặt

rq1o	roạch
rquo	roạu
rqjo	roạy
rqco	roặc
rqfo	roặng
rqno	roặn
rqmo	roặm
rqvo	roặp
rqro	roặt

rt1l	rự
rtul	rựu
rtjl	rựi
rtcl	rực
rtfl	rựng
rtnl	rựn
rtml	rựm
rtvl	rựp
rtrl	rựt

rt1o	rựa
rtuo	rượu
rtjo	rượi
rtco	rược
rtfo	rượng
rtno	rượn
rtmo	rượm
rtvo	rượp
rtro	rượt

rp1l	rụ
rpul	rụu
rpjl	rụi
rpcl	rục
rpfl	rụng
rpnl	rụn
rpml	rụm
rpvl	rụp
rprl	rụt

rp1o	rụa
rpuo	ruộu
rpjo	ruội
rpco	ruộc
rpfo	ruộng
rpno	ruộn
rpmo	ruộm
rpvo	ruộp
rpro	ruột

lw1l	lợ
lwul	lợu
lwjl	lợi
lwcl	lợc
lwfl	lợng
lwnl	lợn
lwml	lợm
lwvl	lợp
lwrl	lợt

lw1o	luợ
lwuo	luợu
lwjo	luợi
lwco	luợc
lwfo	luợng
lwno	luợn
lwmo	luợm
lwvo	luợp
lwro	luợt

lo1l	lọ
loul	lọu
lojl	lọi
locl	lọc
lofl	lọng
lonl	lọn
loml	lọm
lovl	lọp
lorl	lọt

lo1o	loọ
louo	loọu
lojo	loọi
loco	loọc
lofo	loọng
lono	loọn
lomo	loọm
lovo	loọp
loro	loọt

la1l	lạ
laul	lạo
lajl	lại
lacl	lạc
lafl	lạng
lanl	lạn
laml	lạm
lavl	lạp
larl	lạt

la1o	loạ
lauo	loạo
lajo	loại
laco	loạc
lafo	loạng
lano	loạn
lamo	loạm
lavo	loạp
laro	loạt

le1l	lẹ
leul	lẹo
lejl	lẹi
lecl	lẹc
lefl	lẹng
lenl	lẹn
leml	lẹm
levl	lẹp
lerl	lẹt

le1o	loẹ
leuo	loẹo
lejo	loẹi
leco	loẹc
lefo	loẹng
leno	loẹn
lemo	loẹm
levo	loẹp
lero	loẹt

ld1l	lệ
ldul	lệu
ldjl	lệy
ldcl	lệch
ldfl	lệnh
ldnl	lện
ldml	lệm
ldvl	lệp
ldrl	lệt

ld1o	luệ
lduo	luệu
ldjo	luệy
ldco	luệch
ldfo	luệnh
ldno	luện
ldmo	luệm
ldvo	luệp
ldro	luệt

li1l	lị
liul	lịu
lijl	lỵ
licl	lịch
lifl	lịnh
linl	lịn
liml	lịm
livl	lịp
